,Player (Team),Pos,Points,Floor,Ceiling,ADP,name_espn
0,Saquon Barkley (NYG),RB,285.21,253.96,311.8,1.33,Saquon Barkley
1,Alvin Kamara (NO),RB,260.14,245.81,281.24,3.01,Alvin Kamara
2,Christian McCaffrey (CAR),RB,251.01,227.96,277.51,3.15,Christian McCaffrey
3,Ezekiel Elliott (DAL),RB,252.32,217.7,274.97,4.08,Ezekiel Elliott
4,DeAndre Hopkins (HOU),WR,209.38,185.91,226.16,6.4,DeAndre Hopkins
5,David Johnson (ARI),RB,218.42,185.85,243.69,7.39,David Johnson
6,LeVeon Bell (NYJ),RB,225.45,198.3,247.9,7.79,Le'Veon Bell
7,Davante Adams (GB),WR,202.16,192.05,207.2,9.41,Davante Adams
8,Julio Jones (ATL),WR,204.67,187.5,218.66,11.91,Julio Jones
9,James Conner (PIT),RB,224.43,204.1,239.57,11.94,James Conner
10,Nick Chubb (CLE),RB,209.95,191.97,228.19,13.27,Nick Chubb
11,Michael Thomas (NO),WR,186.39,170.39,196.51,13.31,Michael Thomas
12,Odell Beckham (CLE),WR,193.75,161.18,225.47,14.46,Odell Beckham Jr.
13,Todd Gurley (LAR),RB,220.54,188.72,245.04,14.46,Todd Gurley II
14,Travis Kelce (KC),TE,180.05,141.21,190.86,15.96,Travis Kelce
15,Joe Mixon (CIN),RB,210.75,187.01,222.2,16.75,Joe Mixon
16,JuJu Smith-Schuster (PIT),WR,202.78,180.67,220.6,16.94,JuJu Smith-Schuster
17,Dalvin Cook (MIN),RB,204.71,183.99,222.04,18.48,Dalvin Cook
18,Patrick Mahomes (KC),QB,346.64,322.94,368.45,18.76,Patrick Mahomes
19,Tyreek Hill (KC),WR,203.64,129.13,242.1,18.99,Tyreek Hill
20,Antonio Brown (OAK),WR,175.18,143.7,185.22,22.73,Antonio Brown
21,Damien Williams (KC),RB,196.6,176.11,211.72,26.81,Damien Williams
22,Melvin Gordon (LAC),RB,201.53,152.22,250.73,27.07,Melvin Gordon
23,Adam Thielen (MIN),WR,168.99,144.55,191.98,27.22,Adam Thielen
24,Leonard Fournette (JAC),RB,195.04,170.22,212.04,29.13,Leonard Fournette
25,Keenan Allen (LAC),WR,170.75,152.11,180.41,29.29,Keenan Allen
26,George Kittle (SF),TE,154.72,107.05,169.06,30.22,George Kittle
27,Devonta Freeman (ATL),RB,182.46,146.39,202.6,30.69,Devonta Freeman
28,Zach Ertz (PHI),TE,146.73,132.78,160.18,31.15,Zach Ertz
29,Kerryon Johnson (DET),RB,185.92,171.82,199.81,32.4,Kerryon Johnson
30,Amari Cooper (DAL),WR,158.82,143.53,170.44,33.63,Amari Cooper
31,Aaron Jones (GB),RB,188.17,160.99,208.35,33.71,Aaron Jones
32,Stefon Diggs (MIN),WR,157.27,140.23,167.16,35.46,Stefon Diggs
33,T.Y. Hilton (IND),WR,153.75,127.71,165.97,36.05,T.Y. Hilton
34,Derrick Henry (TEN),RB,190.6,151.16,216.47,37.23,Derrick Henry
35,Marlon Mack (IND),RB,176.0,147.83,188.04,37.27,Marlon Mack
36,Josh Jacobs (OAK),RB,167.83,141.16,189.91,38.92,Josh Jacobs
37,Julian Edelman (NE),WR,157.36,143.99,166.97,40.7,Julian Edelman
38,Brandin Cooks (LAR),WR,157.69,138.84,162.91,43.66,Brandin Cooks
39,Robert Woods (LAR),WR,156.29,141.8,170.38,44.89,Robert Woods
40,Chris Carson (SEA),RB,171.96,121.9,195.55,45.9,Chris Carson
41,Kenny Golladay (DET),WR,152.12,136.26,166.58,46.09,Kenny Golladay
42,Mark Ingram (BAL),RB,167.63,127.53,189.32,46.24,Mark Ingram II
43,Sony Michel (NE),RB,178.48,131.85,199.55,46.45,Sony Michel
44,Chris Godwin (TB),WR,142.08,126.6,163.55,47.33,Chris Godwin
45,Deshaun Watson (HOU),QB,314.28,300.29,320.14,48.51,Deshaun Watson
46,Phillip Lindsay (DEN),RB,171.91,142.91,195.24,49.85,Phillip Lindsay
47,David Montgomery (CHI),RB,151.42,114.79,168.88,51.53,David Montgomery
48,Aaron Rodgers (GB),QB,316.21,296.15,333.44,51.73,Aaron Rodgers
49,Tyler Lockett (SEA),WR,153.64,128.01,186.55,53.23,Tyler Lockett
50,O.J. Howard (TB),TE,122.23,107.55,136.87,57.2,O.J. Howard
51,Cooper Kupp (LAR),WR,139.63,119.43,156.01,57.34,Cooper Kupp
52,Evan Engram (NYG),TE,118.0,91.97,123.93,57.63,Evan Engram
53,Baker Mayfield (CLE),QB,278.35,249.97,305.8,58.95,Baker Mayfield
54,A.J. Green (CIN),WR,140.99,123.45,157.51,59.6,A.J. Green
55,Tyler Boyd (CIN),WR,139.38,122.56,154.06,62.31,Tyler Boyd
56,Hunter Henry (LAC),TE,111.05,93.05,127.76,62.72,Hunter Henry
57,Calvin Ridley (ATL),WR,138.14,113.75,160.13,64.64,Calvin Ridley
58,Mike Williams (LAC),WR,143.88,127.44,158.18,65.02,Mike Williams
59,James White (NE),RB,136.46,112.69,148.0,65.39,James White
60,Andrew Luck (IND),QB,115.13,-1.25,300.17,68.26,Andrew Luck
61,Tevin Coleman (SF),RB,140.33,111.96,158.19,69.45,Tevin Coleman
62,Matt Ryan (ATL),QB,294.94,279.06,306.32,69.8,Matt Ryan
63,Jarvis Landry (CLE),WR,127.48,110.31,138.48,70.25,Jarvis Landry
64,Jared Cook (NO),TE,113.27,91.11,123.2,70.92,Jared Cook
65,Tarik Cohen (CHI),RB,132.6,97.13,161.79,72.55,Tarik Cohen
66,D.J. Moore (CAR),WR,131.45,113.39,147.59,72.59,DJ Moore
67,Miles Sanders (PHI),RB,119.19,80.68,135.54,75.55,Miles Sanders
68,Allen Robinson (CHI),WR,128.04,114.8,136.57,75.61,Allen Robinson
69,Alshon Jeffery (PHI),WR,137.76,125.37,149.13,76.47,Alshon Jeffery
70,Kenyan Drake (MIA),RB,145.14,116.3,178.24,76.78,Kenyan Drake
71,Drew Brees (NO),QB,284.08,260.02,298.99,78.16,Drew Brees
72,Eric Ebron (IND),TE,88.3,67.64,100.74,78.17,Eric Ebron
73,Russell Wilson (SEA),QB,288.59,265.66,314.26,79.31,Russell Wilson
74,Robby Anderson (NYJ),WR,132.25,90.86,147.97,81.22,Robby Anderson
75,Bears (CHI),DST,182.59,126.84,189.94,85.76,Bears D/ST
76,Vance McDonald (PIT),TE,98.82,84.67,105.97,86.22,Vance McDonald
77,Cam Newton (CAR),QB,288.73,253.2,304.49,86.45,Cam Newton
78,Austin Ekeler (LAC),RB,123.34,96.57,139.72,86.46,Austin Ekeler
79,Carson Wentz (PHI),QB,282.06,265.51,296.76,87.19,Carson Wentz
80,Will Fuller (HOU),WR,124.01,100.94,152.69,87.53,Will Fuller V
81,Derrius Guice (WAS),RB,131.0,106.75,157.86,87.75,Derrius Guice
82,Latavius Murray (NO),RB,119.77,87.95,137.24,89.13,Latavius Murray
83,Lamar Miller (HOU),RB,62.03,0.0,156.52,89.25,Lamar Miller
84,Sammy Watkins (KC),WR,129.76,105.79,143.47,91.06,Sammy Watkins
85,David Njoku (CLE),TE,99.58,82.41,115.31,92.32,David Njoku
86,Christian Kirk (ARI),WR,117.8,84.03,136.62,93.28,Christian Kirk
87,Jared Goff (LAR),QB,277.04,247.29,289.9,94.56,Jared Goff
88,Jordan Howard (PHI),RB,133.02,81.49,178.22,95.14,Jordan Howard
89,Rashaad Penny (SEA),RB,117.62,83.67,154.82,95.16,Rashaad Penny
90,Josh Gordon (NE),WR,116.65,-0.96,131.94,98.68,Josh Gordon
91,Corey Davis (TEN),WR,126.84,102.98,148.5,99.38,Corey Davis
92,Darrell Henderson (LAR),RB,103.75,61.98,124.55,100.62,Darrell Henderson
93,Curtis Samuel (CAR),WR,110.19,95.65,119.8,100.72,Curtis Samuel
94,Sterling Shepard (NYG),WR,122.31,104.6,140.96,102.85,Sterling Shepard
95,Marvin Jones (DET),WR,124.41,103.44,139.58,104.04,Marvin Jones Jr.
96,Dede Westbrook (JAC),WR,118.81,81.16,129.81,104.05,Dede Westbrook
97,Royce Freeman (DEN),RB,99.76,76.86,115.73,104.96,Royce Freeman
98,Dante Pettis (SF),WR,122.77,110.25,141.17,105.23,Dante Pettis
99,Rams (LAR),DST,114.89,104.66,123.31,107.17,Rams D/ST
100,Kyler Murray (ARI),QB,256.07,200.19,275.4,107.38,Kyler Murray
101,LeSean McCoy (BUF),RB,117.9,89.81,136.49,107.94,LeSean McCoy
102,Duke Johnson (HOU),RB,129.59,71.73,170.02,110.64,Duke Johnson Jr.
103,Larry Fitzgerald (ARI),WR,110.4,98.17,125.87,110.82,Larry Fitzgerald
104,Kareem Hunt (CLE),RB,85.8,52.28,115.36,111.25,Kareem Hunt
105,Kalen Ballage (MIA),RB,95.77,64.63,110.03,112.88,Kalen Ballage
106,Ravens (BAL),DST,174.7,95.48,187.1,115.17,Ravens D/ST
107,Marquez Valdes-Scantling (GB),WR,99.35,69.95,117.49,115.22,Marquez Valdes-Scantling
108,Greg Zuerlein (LAR),K,157.49,141.49,166.55,115.81,Greg Zuerlein
109,Courtland Sutton (DEN),WR,113.3,85.44,139.67,116.55,Courtland Sutton
110,Emmanuel Sanders (DEN),WR,112.04,68.59,131.34,116.67,Emmanuel Sanders
111,Jaguars (JAC),DST,106.43,89.33,165.69,116.96,Jaguars D/ST
112,Matt Breida (SF),RB,92.73,80.19,106.35,117.91,Matt Breida
113,Ben Roethlisberger (PIT),QB,273.58,259.75,284.93,118.09,Ben Roethlisberger
114,Tom Brady (NE),QB,265.67,255.15,272.08,118.11,Tom Brady
115,Justin Tucker (BAL),K,152.37,136.08,164.42,119.7,Justin Tucker
116,Peyton Barber (TB),RB,113.21,67.88,137.54,119.79,Peyton Barber
117,Lamar Jackson (BAL),QB,268.02,235.64,284.4,119.8,Lamar Jackson
118,Delanie Walker (TEN),TE,93.2,78.32,108.68,120.11,Delanie Walker
119,Philip Rivers (LAC),QB,259.0,237.25,269.35,121.0,Philip Rivers
120,Geronimo Allison (GB),WR,92.18,53.2,112.3,121.94,Geronimo Allison
121,Adrian Peterson (WAS),RB,97.73,53.24,117.34,122.94,Adrian Peterson
122,Austin Hooper (ATL),TE,87.48,78.71,97.5,123.4,Austin Hooper
123,Darwin Thompson (KC),RB,64.22,1.8,114.06,123.57,Darwin Thompson
124,Jameis Winston (TB),QB,265.63,242.65,277.15,123.73,Jameis Winston
125,Ronald Jones (TB),RB,86.82,60.12,107.75,124.65,Ronald Jones
126,Vikings (MIN),DST,106.68,90.93,140.22,124.8,Vikings D/ST
127,DeSean Jackson (PHI),WR,108.49,88.11,116.33,125.24,DeSean Jackson
128,Harrison Butker (KC),K,144.96,124.57,156.66,125.57,Harrison Butker
129,Jaylen Samuels (PIT),RB,94.55,62.94,119.67,126.25,Jaylen Samuels
130,James Washington (PIT),WR,93.62,61.84,134.08,126.39,James Washington
131,Chargers (LAC),DST,107.27,95.56,140.41,126.75,Chargers D/ST
132,Nyheim Hines (IND),RB,87.49,52.7,105.54,129.86,Nyheim Hines
133,Tony Pollard (DAL),RB,51.74,0.0,95.9,130.4,Tony Pollard
134,Dak Prescott (DAL),QB,276.09,266.17,285.77,131.24,Dak Prescott
135,Devin Singletary (BUF),RB,68.63,33.87,105.9,131.28,Devin Singletary
136,Stephen Gostkowski (NE),K,144.6,131.75,154.09,132.31,Stephen Gostkowski
137,Wil Lutz (NO),K,143.61,127.15,153.82,132.43,Wil Lutz
138,Justin Jackson (LAC),RB,58.53,10.93,85.98,133.75,Justin Jackson
139,Donte Moncrief (PIT),WR,97.53,76.63,112.22,133.81,Donte Moncrief
140,Golden Tate (NYG),WR,85.41,73.49,99.21,134.12,Golden Tate
141,Kyle Rudolph (MIN),TE,83.51,64.67,99.26,134.38,Kyle Rudolph
142,Kirk Cousins (MIN),QB,265.08,244.36,280.35,134.74,Kirk Cousins
143,Dion Lewis (TEN),RB,103.56,76.5,123.72,135.22,Dion Lewis
144,Alexander Mattison (MIN),RB,57.81,5.73,94.84,135.66,Alexander Mattison
145,Tyrell Williams (OAK),WR,101.06,73.81,119.71,135.7,Tyrell Williams
146,Keke Coutee (HOU),WR,89.82,54.51,106.0,135.72,Keke Coutee
147,Damien Harris (NE),RB,61.63,28.5,92.1,136.2,Damien Harris
148,Mark Andrews (BAL),TE,86.18,71.3,97.31,136.6,Mark Andrews
149,Anthony Miller (CHI),WR,93.11,64.0,104.4,137.2,Anthony Miller
150,N'Keal Harry (NE),WR,69.6,44.73,90.39,137.39,N'Keal Harry
151,Michael Gallup (DAL),WR,102.59,90.41,108.68,137.42,Michael Gallup
152,Jordan Reed (WAS),TE,82.76,55.6,103.39,137.9,Jordan Reed
153,Texans (HOU),DST,105.93,91.02,177.11,138.8,Texans D/ST
154,Trey Burton (CHI),TE,84.47,74.73,97.79,139.18,Trey Burton
155,Mitchell Trubisky (CHI),QB,263.7,222.06,276.88,140.39,Mitchell Trubisky
156,Carlos Hyde (KC),RB,60.44,3.37,93.95,140.44,Carlos Hyde
157,DK Metcalf (SEA),WR,85.17,60.75,95.68,140.99,DK Metcalf
158,Kaimi Fairbairn (HOU),K,139.63,129.66,157.5,141.29,Ka'imi Fairbairn
159,Justice Hill (BAL),RB,55.86,0.26,89.85,141.91,Justice Hill
160,Greg Joseph (CLE),K,88.42,0.0,119.4,142.06,Greg Joseph
161,Greg Olsen (CAR),TE,86.36,73.95,92.15,143.65,Greg Olsen
162,Browns (CLE),DST,107.93,98.27,116.89,144.21,Browns D/ST
163,Ito Smith (ATL),RB,85.58,63.4,102.84,144.53,Ito Smith
164,John Brown (BUF),WR,102.37,60.78,125.05,144.82,John Brown
165,Jerick McKinnon (SF),RB,82.84,39.52,119.81,145.85,Jerick McKinnon
166,T.J. Hockenson (DET),TE,75.16,18.84,103.89,148.39,T.J. Hockenson
167,Jamison Crowder (NYJ),WR,92.34,73.22,106.17,148.65,Jamison Crowder
168,Jimmy Graham (GB),TE,83.62,66.8,93.21,149.57,Jimmy Graham
169,Raiders (OAK),DST,77.86,60.61,90.35,149.94,Raiders D/ST
170,Giants (NYG),DST,93.3,82.84,102.86,150.18,Giants D/ST
171,Steven Hauschka (BUF),K,116.81,103.96,121.31,150.27,Stephen Hauschka
172,Mecole Hardman (KC),WR,68.07,30.58,101.24,150.39,Mecole Hardman
173,Josh Lambo (JAC),K,117.53,104.25,127.81,150.47,Josh Lambo
174,Darren Sproles (PHI),RB,37.83,-0.96,65.73,150.48,Darren Sproles
175,Dustin Hopkins (WAS),K,117.99,105.38,127.51,150.51,Dustin Hopkins
176,Daniel Carlson (OAK),K,116.65,107.07,124.97,150.52,Daniel Carlson
177,Tyler Higbee (LAR),TE,38.09,28.73,45.31,150.59,Tyler Higbee
178,Antonio Callaway (CLE),WR,58.4,31.5,74.11,150.59,Antonio Callaway
179,Jalen Hurd (SF),WR,32.51,0.0,63.22,150.62,Jalen Hurd
